City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Patricio,US,2022-02-11 00:43:54,28.017,-97.5169,66.61,53,100,6.02
1,Cape Town,ZA,2022-02-11 00:50:02,-33.9258,18.4232,64.27,73,0,6.91
2,Bredasdorp,ZA,2022-02-11 00:50:51,-34.5322,20.0403,54.28,87,0,0.0
3,Yar-Sale,RU,2022-02-11 00:50:52,66.8333,70.8333,6.6,90,76,17.72
4,Swan Hill,AU,2022-02-11 00:50:52,-35.3378,143.5544,74.88,29,46,13.89
5,Marzuq,YE,2022-02-11 00:50:52,14.4,46.4667,58.28,41,6,0.51
6,Jamestown,US,2022-02-11 00:46:05,42.097,-79.2353,32.29,68,100,9.22
7,Caravelas,BR,2022-02-11 00:50:07,-17.7125,-39.2481,76.01,90,9,5.95
8,Pisco,PE,2022-02-11 00:43:07,-13.7,-76.2167,73.45,68,0,16.11
9,Ushuaia,AR,2022-02-11 00:50:53,-54.8,-68.3,44.08,91,96,4.9
10,Busselton,AU,2022-02-11 00:50:53,-33.65,115.3333,79.61,42,0,6.15
11,Chuy,UY,2022-02-11 00:45:36,-33.6971,-53.4616,70.23,78,0,11.27
12,Vaini,TO,2022-02-11 00:50:54,-21.2,-175.2,86.16,79,40,14.97
13,Port Elizabeth,ZA,2022-02-11 00:50:54,-33.918,25.5701,62.89,82,0,3.44
14,Jalu,LY,2022-02-11 00:50:55,29.0331,21.5482,49.89,57,0,6.2
15,Souillac,MU,2022-02-11 00:49:58,-20.5167,57.5167,75.58,94,40,3.44
16,Barrow,US,2022-02-11 00:48:42,71.2906,-156.7887,-14.78,64,100,8.05
17,Pevek,RU,2022-02-11 00:50:55,69.7008,170.3133,-28.55,97,100,8.55
18,Nikolskoye,RU,2022-02-11 00:50:55,59.7035,30.7861,34.88,88,96,9.13
19,Bluff,NZ,2022-02-11 00:47:37,-46.6,168.3333,62.8,77,37,11.72
20,Albany,US,2022-02-11 00:45:13,42.6001,-73.9662,36.48,82,48,1.99
21,Srednekolymsk,RU,2022-02-11 00:50:56,67.45,153.6833,-28.68,95,33,3.53
22,Rikitea,PF,2022-02-11 00:47:26,-23.1203,-134.9692,79.56,71,63,15.61
23,Nirsa,IN,2022-02-11 00:50:56,23.7833,86.7167,61.16,70,0,7.58
24,High Level,CA,2022-02-11 00:45:05,58.5169,-117.136,6.91,85,100,0.0
25,Kopavogur,IS,2022-02-11 00:50:57,64.1123,-21.913,32.22,86,75,6.91
26,San Ignacio,BZ,2022-02-11 00:50:57,17.1561,-89.0714,78.94,69,0,0.0
27,Tessalit,ML,2022-02-11 00:50:58,20.1986,1.0114,60.98,17,5,10.4
28,Longyearbyen,SJ,2022-02-11 00:48:44,78.2186,15.6401,21.04,79,100,3.44
29,Nago,JP,2022-02-11 00:50:58,26.5881,127.9761,64.56,60,16,6.93
30,Nemuro,JP,2022-02-11 00:50:58,43.3236,145.575,18.03,70,59,6.8
31,Yellowknife,CA,2022-02-11 00:37:02,62.456,-114.3525,-13.59,82,75,9.22
32,Jieshi,CN,2022-02-11 00:50:59,22.8134,115.8257,61.95,81,100,17.72
33,Grindavik,IS,2022-02-11 00:48:49,63.8424,-22.4338,32.47,59,75,10.36
34,Zhigansk,RU,2022-02-11 00:49:53,66.7697,123.3711,-25.85,97,100,11.86
35,Esperance,AU,2022-02-11 00:50:59,-33.8667,121.9,87.64,34,99,19.66
36,Cherskiy,RU,2022-02-11 00:51:00,68.75,161.3,-31.4,98,100,6.29
37,Arraial Do Cabo,BR,2022-02-11 00:41:09,-22.9661,-42.0278,73.17,85,100,0.74
38,Bethel,US,2022-02-11 00:48:32,41.3712,-73.414,45.48,56,100,5.75
39,Faanui,PF,2022-02-11 00:43:42,-16.4833,-151.75,81.81,73,11,15.14
40,Georgetown,MY,2022-02-11 00:42:26,5.4112,100.3354,78.89,93,20,0.0
41,Grand Gaube,MU,2022-02-11 00:41:04,-20.0064,57.6608,75.6,82,3,4.65
42,Lebu,CL,2022-02-11 00:42:33,-37.6167,-73.65,57.76,72,0,25.21
43,Omboue,GA,2022-02-11 00:51:01,-1.5746,9.2618,77.36,87,99,5.68
44,Bima,ID,2022-02-11 00:42:28,-8.4667,118.7167,81.18,84,99,1.66
45,Cidreira,BR,2022-02-11 00:39:12,-30.1811,-50.2056,74.44,81,10,18.9
46,Hobart,AU,2022-02-11 00:47:06,-42.8794,147.3294,69.26,42,40,12.66
47,Independencia,BR,2022-02-11 00:52:02,-5.3964,-40.3086,75.49,67,25,3.18
48,Tuktoyaktuk,CA,2022-02-11 00:52:02,69.4541,-133.0374,-18.4,76,100,21.85
49,Lecce,IT,2022-02-11 00:52:03,40.2167,18.1667,40.46,100,75,3.44
50,Klaksvik,FO,2022-02-11 00:52:03,62.2266,-6.589,34.72,65,96,24.14
51,Taoudenni,ML,2022-02-11 00:52:03,22.6783,-3.9836,60.15,27,0,10.33
52,Saint-Philippe,RE,2022-02-11 00:52:04,-21.3585,55.7679,72.99,81,8,5.57
53,Atuona,PF,2022-02-11 00:44:17,-9.8,-139.0333,78.22,77,18,16.22
54,Diamantino,BR,2022-02-11 00:52:04,-14.4086,-56.4461,72.66,97,100,4.72
55,Dingle,PH,2022-02-11 00:48:46,10.9995,122.6711,78.49,80,100,11.14
56,Hermanus,ZA,2022-02-11 00:52:05,-34.4187,19.2345,61.9,79,0,3.06
57,Avera,US,2022-02-11 00:52:05,33.194,-82.5271,56.71,45,12,4.12
58,Kadnikov,RU,2022-02-11 00:52:06,59.5022,40.338,27.34,96,100,6.02
59,Hilo,US,2022-02-11 00:43:13,19.7297,-155.09,80.33,70,0,9.22
60,Bambous Virieux,MU,2022-02-11 00:50:06,-20.3428,57.7575,75.45,94,40,3.44
61,Nanortalik,GL,2022-02-11 00:41:38,60.1432,-45.2371,27.34,59,100,5.95
62,Narsaq,GL,2022-02-11 00:52:06,60.9167,-46.05,12.27,59,99,8.25
63,Saldanha,ZA,2022-02-11 00:48:48,-33.0117,17.9442,59.05,85,0,10.71
64,Hamilton,US,2022-02-11 00:51:11,39.1834,-84.5333,39.83,61,0,8.05
65,Karratha,AU,2022-02-11 00:52:07,-20.7377,116.8463,88.25,61,12,15.95
66,Evensk,RU,2022-02-11 00:52:07,61.95,159.2333,-6.25,76,44,3.44
67,Tahoua,NE,2022-02-11 00:52:08,14.8888,5.2692,66.22,11,0,13.18
68,Ancud,CL,2022-02-11 00:44:23,-41.8697,-73.8203,54.93,64,9,11.3
69,Samarai,PG,2022-02-11 00:52:08,-10.6167,150.6667,84.65,55,100,11.52
70,Usinsk,RU,2022-02-11 00:52:09,65.9939,57.5281,25.38,86,100,20.2
71,Kapaa,US,2022-02-11 00:50:49,22.0752,-159.319,79.2,65,100,4.61
72,Severo-Kurilsk,RU,2022-02-11 00:52:09,50.6789,156.125,29.01,71,100,6.73
73,Aswan,EG,2022-02-11 00:52:10,24.0934,32.907,50.0,46,0,10.4
74,Victoria,HK,2022-02-11 00:43:01,22.2855,114.1577,66.38,81,96,13.0
75,Hofn,IS,2022-02-11 00:48:39,64.2539,-15.2082,28.94,56,12,10.0
