City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
4,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
5,Jacareacanga,BR,83.8,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
6,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
7,Lompoc,US,80.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
9,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
10,Puerto Ayora,EC,79.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
18,Rikitea,PF,78.71,scattered clouds,-23.1203,-134.9692,People ThankYou
26,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
28,Pisco,PE,76.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
33,Bandarbeyla,SO,76.86,scattered clouds,9.4942,50.8122,JABIR HOTEL
34,Mineiros,BR,82.85,few clouds,-17.5694,-52.5511,Pilões Palace Hotel
39,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
44,Harper,LR,82.87,broken clouds,4.375,-7.7169,Screensaver
49,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
54,Vaini,TO,80.83,broken clouds,-21.2,-175.2,Keleti Beach Resort
57,Sabang,ID,82.53,broken clouds,5.8933,95.3214,Hotel Citra
60,Castro,BR,79.79,clear sky,-24.7911,-50.0119,CHACARA BAILLY
61,Alofi,NU,81.82,light rain,-19.0595,-169.9187,Taloa Heights
64,Bisho,ZA,75.88,clear sky,-32.8472,27.4422,Bisho Park bnb
65,Dalaba,GN,85.24,clear sky,10.7,-12.25,Hôtel Tangama
69,Nova Granada,BR,81.32,broken clouds,-20.5339,-49.3142,Casa do maikão
72,Atuona,PF,77.31,light rain,-9.8,-139.0333,Villa Enata
74,Broken Hill,AU,75.22,clear sky,-31.95,141.4333,Royal Exchange Hotel
75,Diffa,NE,76.37,scattered clouds,13.3154,12.6113,ProDAF/Diffa
76,Bathsheba,BB,79.16,broken clouds,13.2167,-59.5167,Atlantis Hotel
78,General Roca,AR,81.09,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
85,Port Alfred,ZA,77.31,clear sky,-33.5906,26.891,The Halyards Hotel
88,Butaritari,KI,82.08,broken clouds,3.0707,172.7902,Isles Sunset Lodge
91,Ikwiriri,TZ,75.31,overcast clouds,-7.9562,38.9716,Greenland lodge
97,Cape Town,ZA,75.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
102,Mana,GF,80.92,overcast clouds,5.6592,-53.7767,LE SAMANA
105,Itarema,BR,85.32,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
108,Hualmay,PE,75.79,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
109,Am Timan,TD,86.88,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
114,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Piacabucu,BR,87.53,few clouds,-10.4056,-36.4344,Piaçabuçu News
123,Dutse,NG,81.46,broken clouds,11.7594,9.3392,Central Mosque Galamawa
124,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Atar,MR,82.99,few clouds,20.5169,-13.0499,Oumou Elghoura
134,Morondava,MG,82.27,broken clouds,-20.2833,44.2833,La Case Bambou
137,Amahai,ID,77.05,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
143,Pochutla,MX,87.62,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
144,Lekoni,GA,82.2,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
145,Chuy,UY,75.09,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
147,Ratnagiri,IN,75.45,clear sky,16.9833,73.3,Hotel Landmark
148,Namatanai,PG,78.06,light rain,-3.6667,152.4333,Seagulls Inn Namatani
151,Tibati,CM,85.26,scattered clouds,6.4667,12.6333,Tibati Hotel
153,Labuhan,ID,76.89,moderate rain,-6.8844,112.2051,DoubleFAG
157,San Policarpo,PH,78.26,overcast clouds,12.1791,125.5072,Agapita M. Nicart
159,Port Blair,IN,77.47,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Maumere,ID,78.48,overcast clouds,-8.6199,122.2111,Sylvia Hotel
170,Impfondo,CG,86.76,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
174,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
176,East London,ZA,78.73,clear sky,-33.0153,27.9116,Tu Casa
178,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
185,Caravelas,BR,84.02,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
186,Hobyo,SO,77.58,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
195,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
197,Arraial Do Cabo,BR,82.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
199,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
202,Sinnamary,GF,79.95,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Cidreira,BR,79.65,clear sky,-30.1811,-50.2056,Hotel Castelo
207,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
212,Axim,GH,83.61,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
218,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
222,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
230,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
231,Kirakira,SB,77.54,overcast clouds,-10.4544,161.9205,SanBiz Lodge
234,Santa Maria Da Vitoria,BR,83.86,broken clouds,-13.3947,-44.1886,Pousada Rio Current
244,Sola,VU,77.92,overcast clouds,-13.8833,167.55,Leumerus Bungalows
248,Meulaboh,ID,77.85,broken clouds,4.1363,96.1285,Kost Pria
268,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
270,Saint-Paul,RE,78.91,few clouds,-21.0096,55.2707,Boucan Canot
277,Pombas,CV,78.58,overcast clouds,17.1503,-25.0201,Paul Paradis
280,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
287,Marsabit,KE,75.25,few clouds,2.3284,37.9899,Chicho Hotel
288,Tual,ID,82.6,few clouds,-5.6667,132.75,Grand Vilia Hotel
295,Padang,ID,77.97,overcast clouds,-0.9492,100.3543,Mercure Padang
296,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
299,Tabou,CI,82.29,scattered clouds,4.423,-7.3528,hotêl doufoulougou
301,Manokwari,ID,77.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
304,Posse,BR,78.91,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
306,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
309,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
311,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
